songid,name,artist,year,genre,lyrics
20,Old Town Road,Lil Nas X ft. Billy Ray Cyrus,2019,rap,yeah im gonna take my horse to the old town road im gonna ride til i cant no more im gonna take my horse to the old town road im gonna ride kio kio til i cant no more i got the horses in the back horse tack is attached hat is matte black got the boots thats black to match riding on a horse ha you can whip your porsche i been in the valley you aint been up off the porch now cant nobody tell me nothing you cant tell me nothing cant nobody tell me nothing you cant tell me nothing riding on a tractor lean all in my bladder cheated on my baby you can go and ask her my life is a movie bull riding and boobies cowboy hat from gucci wrangler on my booty cant nobody tell me nothing you cant tell me nothing cant nobody tell me nothing you cant tell me nothing yeah im gonna take my horse to the old town road im gonna ride til i cant no more im gonna take my horse to the old town road im gonna ride til i cant no more hat down crosstown livin like a rockstar spent a lot of money on my brandnew guitar babys got a habit diamond rings and fendi sports bras ridin down rodeo in my maserati sports car got no stress ive been through all that im like a marlboro man so i kick on back wish i could roll on back to that old town road i wanna ride til i cant no more yeah im gonna take my horse to the old town road im gonna ride til i cant no more im gonna take my horse to the old town road im gonna ride til i cant no more
21,Savage Love,Jawsh 685 & Jason Derulo,2020,rap,if i woke up without ya i dont know what i would do thought i could be single forever til i met you usually dont be fallin be fallin fallin fast you got a way of keepin me comin backtoback i just found out the only reason that you lovin me was to get back at your exlover but before you leave usually i would never would never even care baby i know she creepin i feel it in the air every night and every day every day i try to make you stay but your savage love did somebody did somebody break your heart lookin like an angel but your savage love when you kiss me i know you dont give two fucks but i still want that your savage love your savage lololove your savage lololove you could use me cause i still want that your savage love baby i hope that this aint karma cause i get around you wanna run it up i wanna lock it down usually dont be fallin be fallin fallin fast you got a way of makin me spend up all my cash every night and every day every day i try to make you stay but your savage love did somebody did somebody break your heart lookin like an angel but your savage love when you kiss me i know you dont give two fucks but i still want that your savage love your savage lololove oh your savage lololove you could use me cause i still want that your savage love ooh lalalala ooh lalalala your savage lololove ooh lalalala ooh lalalala ooh your savage lololove ooh lalalala you could use me ooh lalalala baby savage love oh girl did somebody did somebody break your heart lookin like an angel but your savage love savage love when you kiss me i know you dont give two fucks but i still want that your savage love savage love your savage lololove ooh yeah your savage lololove girl you could use me cause i still want that your savage love
22,Mood,24kGoldn ft. iann dior,2020,rap,why you always in a mood fuckin round actin brand new i aint tryna tell you what to do but try to play it cool baby i aint playing by your rules everything look better with a view why you always in a mood fuckin round actin brand new i aint tryna tell you what to do but try to play it cool baby i aint playing by your rules everything look better with a view yeah i could never get attached when i start to feel i unattach somehow always end up feeling bad baby i am not your dad its not all you want from me i just want your company girl its obvious elephant in the room and were a part of it dont act so confused and you love startin it now im in a mood now we arguin in my bedroom we play games of love to avoid the depression we been here before and i wont be your victim why you always in a mood fuckin round actin brand new i aint tryna tell you what to do but try to play it cool baby i aint playing by your rules everything look better with a view why you always in a mood fuckin round actin brand new i aint tryna tell you what to do but try to play it cool baby i aint playing by your rules everything look better with a view so why you tryin to fake your love on the regular when you could be blowin up just like my cellular i wont ever let a shorty go and set me up only thing i need to know is if you wet enough im talking slick back kick back gang sippin fourties you keep playin not another day with you shorty mismatch bitch that was way before you know me got a lot of love well you better save it for me we play games of love to avoid the depression we been here before and i wont be your victim why you always in a mood fuckin round actin brand new i aint tryna tell you what to do but try to play it cool baby i aint playing by your rules everything look better with a view why you always in a mood fuckin round actin brand new i aint tryna tell you what to do but try to play it cool baby i aint playing by your rules everything look better with a view yeah
23,WAP,Cardi B ft. Megan Thee Stallion,2020,rap,whores in this house theres some whores in this house theres some whores in this house theres some whores in this house hol up i said certified freak seven days a week wet ass pussy make that pullout game weak woo ah yeah yeah yeah yeah yeah you fucking with some wet ass pussy bring a bucket and a mop for this wet ass pussy give me everything you got for this wet ass pussy beat it up nigga catch a charge extra large and extra hard put this pussy right in yo face swipe your nose like a credit card hop on top i want a ride i do a kegel while its inside spit in my mouth look at my eyes this pussy is wet come take a dive tie me up like im surprised lets roleplay i wear a disguise i want you to park that big mack truck right in this little garage make it cream make me scream out in public make a scene i dont cook i dont clean but let me tell you i got this ring ayy ayy gobble me swallow me drip down the side of me yeah quick jump out fore you let it get inside of me yeah i tell him where to put it never tell him where im bout to be i run down on him fore i have a nigga running me talk yo shit bite your lip ask for a car while you ride that dick while you ride that dick you aint never gotta fuck him for a thing he already made his mind up fore he came now get your boots and your coat for this wet ass pussy he bought a phone just for pictures of this wet ass pussy pay my tuition just to kiss me on this wet ass pussy now make it rain if you wanna see some wet ass pussy look i need a hard hitter i need a deep stroke i need a henny drink i need a weed smoker not a garden snake i need a king cobra with a hook in it hope it lean over he got some money then thats where im headed pussy a1 just like his credit he got a beard well im tryna wet it i let him taste it and now he diabetic i dont wanna spit i wanna gulp i wanna gag i wanna choke i want you to touch that lil dangly thing that swing in the back of my throat my head game is fire punani dasani its going in dry and its coming out soggy i ride on that thing like the cops is behind me yuh ah i spit on his mic and now he tryna sign me woo your honor im a freak bitch handcuffs leashes switch my wig make him feel like he cheating put him on his knees give him some to believe in never lost a fight but im looking for a beating in the food chain im the one that eat ya if he ate my ass hes a bottom feeder big d stand for big demeanor i could make ya bust before i ever meet ya if it dont hang then he cant bang you cant hurt my feelings but i like pain if he fuck me and ask whose is it when i ride the dick ima spell my name ah yeah yeah yeah yeah you fucking with some wet ass pussy bring a bucket and a mop for this wet ass pussy give me everything you got for this wet ass pussy now from the top make it drop thats some wet ass pussy now get a bucket and a mop thats some wet ass pussy im talking wap wap wap thats some wet ass pussy macaroni in a pot thats some wet ass pussy huh theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores in this house theres some whores
24,Circles,Post Malone,2019,rap,we couldnt turn around til we were upside down ill be the bad guy now but no i aint too proud i couldnt be there even when i tried you dont believe it we do this every time seasons change and our love went cold feed the flame cause we cant let it go run away but were running in circles run away run away i dare you to do something im waiting on you again so i dont take the blame run away but were running in circles run away run away run away let go i got a feeling that its time to let go i say so i knew that this was doomed from the getgo you thought that it was special special but it was just the sex though the sex though and i still hear the echoes the echoes i got a feeling that its time to let it go let it go seasons change and our love went cold feed the flame cause we cant let it go run away but were running in circles run away run away i dare you to do something im waiting on you again so i dont take the blame run away but were running in circles run away run away run away maybe you dont understand what im going through its only me what you got to lose make up your mind tell me what are you gonna do its only me let it go seasons change and our love went cold feed the flame cause we cant let it go run away but were running in circles run away run away i dare you to do something im waiting on you again so i dont take the blame run away but were running in circles run away run away run away
25,Rockstar,Post Malone ft. 21 Savage,2018,rap,ive been fuckin hoes and poppin pillies man i feel just like a rockstar ayy ayy all my brothers got that gas and they always be smokin like a rasta fuckin with me call up on a uzi and show up man them the shottas when my homies pull up on your block they make that thing go grrratatata ta pow pow pow ayy ayy switch my whip came back in black im startin sayin rest in peace to bon scott scott ayy close that door we blowin smoke she ask me light a fire like im morrison son ayy act a fool on stage prolly leave my fuckin show in a cop car car ayy shit was legendary threw a tv out the window of the montage cocaine on the table liquor pourin dont give a damn dude your girlfriend is a groupie she just tryna get in sayin im with the band ayy ayy now she actin outta pocket tryna grab up on my pants hundred bitches in my trailer say they aint got a man and they all brought a friend yeah ayy ayy ayy ive been fuckin hoes and poppin pillies man i feel just like a rockstar ayy ayy all my brothers got that gas and they always be smokin like a rasta fuckin with me call up on a uzi and show up man them the shottas when my homies pull up on your block they make that thing go grrratatata ta pow pow pow ive been in the hills fuckin superstars feelin like a popstar 21 21 21 drinkin henny bad bitches jumpin in the pool and they aint got on no bra bra hit her from the back pullin on her tracks and now she screamin out ¡no más yeah yeah yeah they like savage why you got a twelve car garage and you only got six cars 21 i aint with the cakin how you kiss that kiss that your wifey say im lookin like a whole snack big snack green hundreds in my safe i got old racks old racks l.a. bitches always askin where the coke at 21 21 livin like a rockstar smash out on a cop car sweeter than a poptart you know you are not hard i done made the hot chart member i used to trap hard livin like a rockstar im livin like a rockstar ayy ive been fuckin hoes and poppin pillies man i feel just like a rockstar ayy ayy all my brothers got that gas and they always be smokin like a rasta yeah yeah yeah yeah fuckin with me call up on a uzi and show up man them the shottas when my homies pull up on your block they make that thing go grrratatata ta grrratatatata star star rockstar rockstar star rockstar rockstar feel just like a rockstar rockstar rockstar feel just like a
26,Leaving Heaven,Eminem ft. Skylar Grey,2019,rap,yeah i knew this day was coming sometimes you gotta come back down its all going to hell now man stoop to someones level yeah five dozen flies buzzin over your head call me the grim reaper sleep is my cousin you dead to me now and ima be the last face you see fore you die cussin yep my eye a tigers and im a survivor so i will rise up and what be triumphant cause when im looking at my legacy leg i see bunch of dogs tryna dry hump it like triumph the puppet so im like fuck it pile the carnage up til its so high its touching the sky let em all line up and attack single filing up in the stack call em toy soldiers yeah cause they just wind up on their backs now the skys nothing but black but i am not coming back i done told ya i told the woke me to go to sleep but still they keep on provoking me theyre hoping to see me completely broken emotionally but how in the fuck am i not supposed to be woke when these fuckers just keep poking me now im leaving heaven im leaving heaven angels wont find me where i am going ive been down kicked like around six thousand times since i was a kid as a child picked on clowned countless times ive been outed gotta remind myself of it every now and then yeah so the route i wents selfempowerment in a hole taught myself how to get out of it and balance it with talents wit cause life is like a penny life is like a penny cause its only one percent who overcome the shit theyve underwent i went awol like what my back was up against dont tell me bout struggle bitch i lived it i was five or six the first time i got my hind end kicked malcolm isaac and boogie jumped me and took my tricycle and i dont know if i would call that white privilege yeah but i get it how it feels to be judged by pigment besides getting it from both sides of the tracks but i swore id get them back even if it meant selling my soul to get revenge and what thought of a scheme and it got me to thinking if i can believe in myself i could prolly achieve it thats part of the reason i do all my talking with ink and as long as im breathing i vow to smother and beat them a god but a heart of a demon go at em and ima get even like im in the garden of eden im bout to go off of the deep end this evil is calling im already seething and im leaving heaven im leaving heaven angels wont find me where i am going okay so while macklemore was keeping his room nice and neat yeah i was getting my ass beat twice a week what looking for a place for the night where i could sleep flippin sofa cushions over just tryin to see if i could find some change and scrape up for a bite to eat if denaun and me find a couple dimes a piece twenty five cents eachd get us a bag of chips wed be glad to get that even we if we had to split wed do backward flips looking back at it i think that would fit with the definition of not having shit couple that with the fact my mother was batshit pop was a sack of shit yeah he died but i gave half a shit yeah which brings me back to the dear old dad that i zero had since a yearold fortyseven yearold scab just to hear them words ear piercing like my earlobe stabbed with a needle for an earring should i feel upset you were dead to me fore you died me tear no shed should i have made a mural at your funeral had your coffin draped with a heros flag where the fuck you were at when deangelo done hurt me real bad at the rio grande never met your grandkids fucking coward only gut you had was from your stomach fat i couldnt see your ass goin to heaven so im asking for a pass to go to hell so i can whip your fucking ass i hate that ill never get to say i hate you to your face no coming back from where im going sky is dark my soul is black hand on the shovel dig with the blade up and then i step on the metal vendetta to settle tell the devil im leaving heaven yeah im leaving heaven you know i should dig your motherfucking ass up angels wont find me just to spit in your fucking face where i am going holding my baby pictures up like youre proud of me im leaving heaven fuck you bitch im leaving heaven you know what maybe if i had had you angels wont find me i wouldnt have went through half the shit i went through so i blame you where i am going or maybe i should say thank you cause i wouldnt have been me so you better you better run yeah you better you better run so ima let it go now rest in peace you better you better run cocksucker you better you better run see you in hell
27,The Plan,Travis Scott,2020,rap,you dont know where we stand its true know the plan last time i wrecked it last time i whipped around last time i did the whippets yeah last time i live reverse yeah yeah ooh pour the brown hit the reverend yeah last time i hit your crib yeah last time there was no tenants i done went back in myself felt like hell fuck i risked it patience sell yeah found you livin know you thrillin not for sinnin yeah how i got my stripes in business backin out in the street yeah what is wild let it be ragers out gotta eat yeah not a vibe yeah but a wave with the sound by the way count it down by the days ooh to myself know they wicked with the moves ooh ooh im drinkin off the juice know im drinkin i be smooth then i lose it yeah yeah now you dont know where we stand yeah yeah yeah its true yeah yeah know the plan close the opera hear the red and blue outside i think our options up i recrossed it round the map i had to line it up i be swervin on the waves its like a line of us yeah yeah move in verse on my turf im outta line i put in work i draw the line and cross it first i need the time i need the search its just like wine it make it worse skrrt skrrt in the vert skrrt skrrt ride on land boeing jet make it land its slow motion when i dance in your eyes i see your trance i run away and then you prance if i show the hideaway would you hide out and let it blam aint no time im facin scams nah nah yeah you dont know where we stand yeah yeah yeah its true yeah yeah ooh ooh
28,Franchise,Travis Scott ft. Young Thug & M.I.A.,2020,rap,yeah yeahyeah yeah mmmhmm mmmhmm yup in my white tee yeah call up hype williams for the hype please uh they gon wipe you before you wipe me unboxing my checks not my nikes yeah cactis not no iced tea ah uh got em bamboozled like im spike lee ah uh you need more than google just to find me ah uh i just call her bae to get her hyphy ah ooh incredible ickiicki general i just start the label just to sign me woo woo woo uh me and chase connected like we siamese ooh ooh woo weve been on the run feel like a crime spree talk to me nicely yeah i seen his face seen it yup on his white tee lets go yeah yup call the sprite people call em hol on brrt private flight to france tryna sightsee on private flights brrat popped em in his hands he was typin da da da caterpillar rari i fold it lift it up up i went on the stand told the judge to pass my cup ayy ran up 20 million told the devil keep the luck luck keep that keep that hoe uhuh r.i.p. pop keep the smoke ayy slatt talk to me nicely talk to me nicely keep her on the chain that aint like me that aint like me scotts with no strings you cant tie me scotts with the hol on bitch im higher than the plane im where the skypes be doo doodoo doo hee yep in my slime tee doo doodoo hee princey in his prime yee doo doo doodoo doo hee yellowbone too feisty yee doo doo doodoo doo hee clean him up no napkin yee doo yup in my white tee yeah yeah call up hype williams for the hype please its lit uh they gon wipe you before you wipe me phew unboxing my checks not my nikes yeah scuse me zizizizizizizizi dont be missin man mississippi dip a sippy make em happy make em copy make em get me chippi chippi yeah theres a lot im gon spend tell me when i beam you to pull up you gon shootout while i spin trippin like im trigger happy saltfish ackee ackee golf buggy kawasaki catch a fish sushi maki livin life london city left the town ah thug and travis be the fam yup yeah you know that slatt and when they free us out its gonna be a film a kodak yeah shoot me pourin right above the rim like pollack ive been rippin and runnin not slippin or slidin athletic tendencies ive been up since cheffin it whippin it to the base rock i provide the remedy lets go when we open gates up at utopia its lit its like zootopia you see the crosses over ya yeah thats how you know its us at 400 a.m. im phonin ya not for no shoulder rub them jackboys open cleaners up the way they fold and tuck yup in my white tee yeah yeah call up hype williams for the hype please yeah they gon wipe you before you wipe me yeah unboxing my checks not my checks not my ii be where the fuck the light be bangers in the system its bangers in the system its ancient anunnaki bangers in the system its that bangers in the system its that m.i.a.
29,Laugh Now Cry Later,Drake ft. Lil Durk,2020,rap,woah woah yeah sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that tired of beefin you bums you cant even pay me enough to react been wakin up in the crib and sometimes i dont even know where im at please dont play that nigga songs in this party i cant even listen to that anytime that i ran into somebody it must be a victory lap ayy shawty come sit on my lap ayy they sayin drizzy just snap distance between us is not like a store this isnt a closeable gap ayy ive seen some niggas attack and dont end up makin it back i know that they at the crib goin crazy down bad what they had didnt last damn baby sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that im in the trenches relax can you not play that lil boy in the club cause we do not listen to rats we in atlanta i buy her a wig she tellin me tae is the best point at the nigga who act like a killer but you only one from the net im like dababy im not just a rapper you play with me you gon get stretched hmmhmm oohoh bring drake to the hood surround drake around dracs even though i got a case ima do what it take and i never been embraced and the moneys hard to make so i bet they on they face right now i know that they at the crib goin crazy down bad what they had didnt last damn baby sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that when he tell the story thats not how it went know they be lyin a hundred percent moved out the ritz and forgot bout the bent valet just called me to tell me come get it knocked that boy off and i dont want no credit if it was me they wouldnt regret it left me for dead and now they wan dead it yeah heart is still beatin my niggas still eatin backyard it look like the garden of eden pillow talk with em she spillin the tea and then shawty came back and said she didnt mean it its hard to believe it i know that they at the crib goin crazy down bad what they had didnt last damn baby sometimes we laugh and sometimes we cry but i guess you know now baby i took a half and she took the whole thing slow down baby baby we took a trip now we on your block and its like a ghost town baby where do these niggas be at when they say they doin all this and all that
30,Good News,Mac Miller,2020,rap,i spent the whole day in my head do a little spring cleaning im always too busy dreaming well maybe i should wake up instead a lot of things i regret but i just say i forget why cant it just be easy why does everybody need me to stay oh i hate the feeling when youre high but youre underneath the ceiling got the cards in my hand i hate dealing yeah get everything i need then im gone but it aint stealing can i get a break i wish that i could just get out my goddamn way what is there to say there aint a better time than today maybe ill lay down for a little yeah stead of always trying to figure everything out and all i do is say sorry half the time i dont even know what im saying it about good news good news good news thats all they wanna hear no they dont like it when im down but when im flying oh it make em so uncomfortable so different whats the difference when it aint that bad it could always be worse im running out of gas hardly anything left hope i make it home from work well so tired of being so tired why i gotta build something beautiful just to go set it on fire im no liar but sometimes the truth dont sound like the truth maybe cause it aint i just love the way it sound when i say it yeah its what i do if you know me it aint anything new wake up to the moon havent seen the sun in a while but i heard that the skys still blue yeah heard they dont talk about me too much no more and thats a problem with a closed door good news good news good news thats all they wanna hear no they dont like it when im down but when im flying oh it make em so uncomfortable so different whats the difference theres a whole lot more for me waiting on the other side im always wondering if it feel like summer i know maybe im too late i could make it there some other time ill finally discover that theres a whole lot more for me waiting that theres a whole lot more for me waiting i know maybe im too late i could make it there some other time then ill finally discover that it aint that bad aint so bad well it aint that bad at least it dont gotta be no more no more no more no more no more no more no more no more no more hey mm hey mm
31,Perfect,Ed Sheeran,2017,pop,i found a love for me darling just dive right in and follow my lead well i found a girl beautiful and sweet i never knew you were the someone waiting for me cause we were just kids when we fell in love not knowing what it was i will not give you up this time but darling just kiss me slow your heart is all i own and in your eyes youre holding mine baby im dancing in the dark with you between my arms barefoot on the grass listening to our favorite song when you said you looked a mess i whispered underneath my breath but you heard it darling you look perfect tonight well i found a woman stronger than anyone i know she shares my dreams i hope that someday ill share her home i found a love to carry more than just my secrets to carry love to carry children of our own we are still kids but were so in love fighting against all odds i know well be alright this time darling just hold my hand be my girl ill be your man i see my future in your eyes baby im dancing in the dark with you between my arms barefoot on the grass listening to our favorite song when i saw you in that dress looking so beautiful i dont deserve this darling you look perfect tonight baby im dancing in the dark with you between my arms barefoot on the grass listening to our favorite song i have faith in what i see now i know i have met an angel in person and she looks perfect i dont deserve this you look perfect tonight
32,Shape of You,Ed Sheeran,2017,pop,the club isnt the best place to find a lover so the bar is where i go me and my friends at the table doing shots drinking fast and then we talk slow come over and start up a conversation with just me and trust me ill give it a chance now take my hand stop put van the man on the jukebox and then we start to dance and now im singing like girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy dont mind me say boy lets not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead im in love with the shape of you we push and pull like a magnet do although my heart is falling too im in love with your body and last night you were in my room and now my bedsheets smell like you every day discovering something brand new im in love with your body ohiohiohiohi im in love with your body ohiohiohiohi im in love with your body ohiohiohiohi im in love with your body every day discovering something brand new im in love with the shape of you one week in we let the story begin were going out on our first date you and me are thrifty so go all you can eat fill up your bag and i fill up a plate we talk for hours and hours about the sweet and the sour and how your family is doing okay leave and get in a taxi then kiss in the backseat tell the driver make the radio play and im singing like girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy dont mind me say boy lets not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead
33,What Do I Know,Ed Sheeran,2017,pop,aint got a soapbox i can stand upon but god gave me a stage a guitar and a song my daddy told me son dont you get involved in politics religions or other peoples quotes ill paint the picture let me set the scene i know when i have children they will know what it means and i pass on these things my familys given to me just love and understanding positivity we could change this whole world with a piano add a bass some guitar grab a beat and away we go im just a boy with a oneman show no university no degree but lord knows everybodys talking bout exponential growth and the stock market crashing in their portfolios while ill be sitting here with a song that i wrote sing love could change the world in a moment but what do i know love can change the world in a moment but what do i know love can change the world in a moment the revolutions coming its a minute away i saw people marching in the streets today you know we are made up of love and hate but both of them are balanced on a razor blade ill paint the picture let me set the scene i know im all for people following their dreams just reremember life is more than fittin in your jeans its love and understanding positivity we could change this whole world with a piano add a bass some guitar grab a beat and away we go im just a boy with a oneman show no university no degree but lord knows everybodys talking bout exponential growth
34,Dive,Ed Sheeran,2017,pop,maybe i came on too strong maybe i waited too long maybe i played my cards wrong oh just a little bit wrong baby i apologise for it i could fall or i could fly here in your aeroplane and i could live i could die hanging on the words you say ive been known to give my all and jumping in harder than 10000 rocks on the lake so dont call me baby unless you mean it and dont tell me you need me if you dont believe it so let me know the truth before i dive right into you youre a mystery i have travelled the world and theres no other girl like you no one whats your history do you have a tendency to lead some people on cause i heard you do i could fall or i could fly here in your aeroplane and i could live i could die hanging on the words you say and ive been known to give my all and lie awake every day dont know how much i can take so dont call me baby unless you mean it and dont tell me you need me if you dont believe it so let me know the truth before i dive right into you i could fall or i could fly here in your aeroplane i could live i could die hanging on the words you say ive been known to give my all sitting back looking at every mess that i made so dont call me baby unless you mean it and dont tell me you need me if you dont believe it let me know the truth before i dive right into you before i dive right into you before i dive right into you
35,Bad Liar,Selena Gomez,2017,pop,i was walking down the street the other day tryna distract myself but then i see your face oh wait thats someone else ohh tryna play it coy tryna make it disappear but just like the battle of troy theres nothing subtle here in my room theres a king size space bigger than it used to be if you want you can rent that place call me an amenity even if its in my dreams ooh youre taking up a fraction of my mind ooh every time i watch you serpentine oh im tryin im tryin im tryin im tryin im tryin oh tryin im tryin im tryin im tryin im tryin not to think about you no no no no not to think about you no no no no oh im tryin im tryin im tryin im tryin im tryin oh tryin im tryin im tryin im tryin im tryin not to give in to you no no no no not to give in to you with my feelings on fire guess im a bad liar i see how your attention builds its like looking in a mirror your touch like a happy pill but still all we do is fear what could possibly happen next can we focus on the love paint my kiss across your chest if youre the art ill be the brush ooh youre taking up a fraction of my mind ooh every time i watch you serpentine
36,Levitating,Dua Lipa,2020,pop,if you wanna run away with me i know a galaxy and i can take you for a ride i had a premonition that we fell into a rhythm where the music dont stop for life glitter in the sky glitter in my eyes shining just the way i like if youre feeling like you need a little bit of company you met me at the perfect time you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating i believe that youre for me i feel it in our energy i see us written in the stars we can go wherever so lets do it now or never baby nothings ever ever too far glitter in the sky glitter in our eyes shining just the way we are i feel like were forever every time we get together but whatever lets get lost on mars you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me
37,Cool,Dua Lipa,2020,pop,guess i never had a love like this hit me harder than i ever expected we been up all goddamn night all night all night keep it going till we see the sunlight and the colour of the sky looking niceonice you know you know you know baby i could see us in the real life you know you know you got got me losing all my cool cause im burning up on you in control of what i do and i love the way you move got the heat and the thrill gives you more than any pill never running out of juice when its only me and you you got me you got me losing all my cool i guess were ready for the summer i like us better when were intertwined the way you touch me got me losing my senses put your love with your lips on mine on mine on mine you got me working up an appetite tite and the colour of the sky looking niceonice you know you know you know baby i could see us in the real life you know you know you got got me losing all my cool cause im burning up on you in control of what i do and i love the way you move we got the heat and the thrill gives you more than any pill never running out of juice when its only me and you you got me you got me losing all my cool i guess were ready for the summer you got me you got me losing all my cool i guess were ready for the summer skin tight ill show you heaven theres nothing better ill give it to you all night you know you know you know got me losing all my cool yeah you like the way i move in control of what i do and my love makes you brand new got me losing all my cool cause im burning up on you in control of what i do and i love the way you move got the heat and the thrill gives you more than any pill never running out of juice when its only me and you when its only me and you
38,Break My Heart,Dua Lipa,2020,pop,ive always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know just what i like now im falling you say my name like i have never heard before im indecisive but this time i know for sure i hope im not the only one that feels it all are you falling centre of attention you know you can get whatever you want from me whenever you want it baby its you in my reflection im afraid of all the things it could do to me if i woulda known it baby i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart i wonder when you go if i stay on your mind two can play that game but you win me every time everyone before you was a waste of time yeah you got me centre of attention you know you can get whatever you want from me whenever you want it baby its you in my reflection im afraid of all the things it could do to me if i woulda known it baby i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart
39,The Man,Tailor Swift,2019,pop,i would be complex i would be cool theyd say i played the field before i found someone to commit to and that would be okay for me to do every conquest i had made would make me more of a boss to you id be a fearless leader id be an alpha type when everyone believes ya whats that like im so sick of running as fast as i can wondering if id get there quicker if i was a man and im so sick of them coming at me again cause if i was a man then id be the man id be the man id be the man theyd say i hustled put in the work they wouldnt shake their heads and question how much of this i deserve what i was wearing if i was rude could all be separated from my good ideas and power moves and they would toast to me oh let the players play id be just like leo in sainttropez im so sick of running as fast as i can wondering if id get there quicker if i was a man and im so sick of them coming at me again cause if i was a man then id be the man id be the man id be the man whats it like to brag about raking in dollars and getting bitches and models and its all good if youre bad and its okay if youre mad if i was out flashing my dollars id be a bitch not a baller theyd paint me out to be bad so its okay that im mad im so sick of running as fast as i can wondering if id get there quicker if i was a man you know that and im so sick of them coming at me again coming at me again cause if i was a man if i was a man then id be the man then id be the man im so sick of running as fast as i can as fast as i can wondering if id get there quicker if i was a man hey and im so sick of them coming at me again
40,Paper Rings,Tailor Swift,2019,pop,the moon is high like your friends were the night that we first met went home and tried to stalk you on the internet now ive read all of the books beside your bed the wine is cold like the shoulder that i gave you in the street cat and mouse for a month or two or three now i wake up in the night and watch you breathe ayy kiss me once cause you know i had a long night oh kiss me twice cause its gonna be alright uh three times cause i waited my whole life 1 2 1 2 3 4 i like shiny things but id marry you with paper rings uh huh thats right darling youre the one i want and i hate accidents except when we went from friends to this uh huh thats right darling youre the one i want in paper rings in picture frames in dirty dreams oh youre the one i want in the winter in the icy outdoor pool when you jumped in first i went in too im with you even if it makes me blue which takes me back to the color that we painted your brothers wall honey without all the exes fights and flaws we wouldnt be standing here so tall so ayy kiss you once cause i know you had a long night oh kiss you twice cause its gonna be alright uh three times cause you waited your whole life 1 2 1 2 3 4 ah i like shiny things but id marry you with paper rings uh huh thats right darling youre the one i want and i hate accidents except when we went from friends to this uh huh thats right darling youre the one i want in paper rings in picture frames in dirty dreams oh youre the one i want
41,Blinding Lights,The Weeknd,2019,pop,ive been tryna call ive been on my own for long enough maybe you can show mehowto love maybe imgoing through withdrawals you dont even haveto do too much you can turn me on with just a touch baby i look around and sin citys cold and empty oh no ones around to judge me oh i cant see clearly when youre gone i said ooh im blinded by the lights no i cant sleep until i feel your touch i said ooh im drowning in the night oh when im like this youre the one i trust hey hey hey im running out of time cause i can see the sun light up the sky so i hit the road in overdrive baby oh the citys cold and empty oh no ones around to judge me oh i cant see clearly when youre gone i said ooh im blinded by the lights no i cant sleep until i feel your touch i said ooh im drowning in the night oh when im like this youre the one i trust im just coming back to let you know back to let you know i could never say it on the phone say it on the phone will never let you go this time ooh i said ooh im blinded by the lights no i cant sleep until i feel your touch hey hey hey hey hey hey i said ooh im blinded by the lights no i cant sleep until i feel your touch
