songid,name,artist,year,genre,lyrics
10,Dont Look Back in Anger,Oasis,1995,rock,dont look back in anger slip inside the eye of your mind dont you know you might find a better place to play you said that youd never been but all the things that youve seen slowly fade away so i start a revolution from my bed cause you said the brains i had went to my head step outside summertimes in bloom stand up beside the fireplace take that look from off your face you aint ever gonna burn my heart out and so sally can wait she knows its too late as were walking on by her soul slides away but dont look back in anger i heard you say take me to the place where you go where nobody knows if its night or day please dont put your life in the hands of a rock n roll band wholl throw it all away im gonna start a revolution from my bed cause you said the brains i had went to my head step outside cause summertimes in bloom stand up beside the fireplace take that look from off your face cause you aint ever gonna burn my heart out and so sally can wait she knows its too late as shes walking on by my soul slides away but dont look back in anger i heard you say so sally can wait she knows its too late as were walking on by her soul slides away but dont look back in anger i heard you say so sally can wait she knows its too late as shes walking on by my soul slides away but dont look back in anger dont look back in anger i heard you say at least not today
11,Bitter Sweet Symphony,The Verve,1997,rock,cause its a bittersweet symphony thats life tryna make ends meet youre a slave to money then you die ill take you down the only road ive ever been down you know the one that takes you to the places where all the veins meet yeah no change i can change i can change i can change but im here in my mold i am here in my mold but im a million different people from one day to the next i cant change my mold no no no no no have you ever been down well ive never prayed but tonight im on my knees yeah i need to hear some sounds that recognize the pain in me yeah i let the melody shine let it cleanse my mind i feel free now but the airwaves are clean and theres nobody singin to me now no change i can change i can change i can change but im here in my mold i am here in my mold and im a million different people from one day to the next i cant change my mold no no no no no have you ever been down i cant change oh no i cant change oh cause its a bittersweet symphony thats life tryna make ends meet tryna find somebody then you die ill take you down the only road ive ever been down you know the one that takes you to the places where all the veins meet yeah you know i can change i can change i can change i can change but im here in my mold i am here in my mold and im a million different people from one day to the next i cant change my mold no no no no no i cant change my mold no no no no no i cant change my mold no no no no its just sex and violence melody and silence its just sex and violence melody and silence ill take you down the only road ive ever been down ill take you down the only road ive ever been down been down ever been down ever been down ever been down ever been down have you ever been down have you ever been down have you ever been down
12,Creep,Radiohead,1992,rock,when you were here before couldnt look you in the eye youre just like an angel your skin makes me cry you float like a feather in a beautiful world i wish i was special youre so fuckin special but im a creep im a weirdo what the hell am i doin here i dont belong here i dont care if it hurts i wanna have control i want a perfect body i want a perfect soul i want you to notice when im not around so fuckin special i wish i was special but im a creep im a weirdo what the hell am i doin here i dont belong here shes running out the door run shes running out she run run run run run whatever makes you happy whatever you want youre so fuckin special i wish i was special but im a creep im a weirdo what the hell am i doin here i dont belong here i dont belong here
13,Still Wiz,Wiz Khalifa,2020,rap,still keep it real still park the whip and chill still never poppin pills still got em in they feels still give em chills peel hundred dollar bills had a crib in the hills one trip couple mil how a nigga fall asleep and still makin sales one hand on the wheel couple bands on the meal playin on the field weigh it on a scale in the air for twenty hours i was unavailable seen how much im worth started thinkin i was dateable all my niggas gettin rich dues i done paid a few smokin weed by the zip millions i done made a few state to state im stackin up and stayin out the way big bag i want a big bag if it aint gettin money you can skip that skip that big bag i want a big bag put you in a rollsroyce let you kick back im still wiz still wiz niggas got me in that mood in that mood how they hatin when they know that im that dude im that dude i hear they hatin cause they know i got the juice got the juice uhhuh yeah they like ooh they watchin how i move how i move motherfuckers they be actin like we cool like we cool fuck you thought this was nigga i aint no fool uhuh hahaha im still wiz
14,See You Again,Wiz Khalifa,2016,rap,damn who knew all the planes we flew good things we been through that id be standing right here talking to you bout another path i know we loved to hit the road and laugh but something told me that it wouldnt last had to switch up look at things different see the bigger picture those were the days hard work forever pays now i see you in a better place see you in a better place uh how could we not talk about family when familys all that we got everything i went through you were standing there by my side and now you gon be with me for the last ride
15,Millions,Wiz Khalifa,2020,rap,yeah yeah yeah yeah yeah never gon fall on my job ima always go real real hard never gon turn on my dogs everything i do for me and my squad shorty keep calling my phone thinking i want her but we dont get along papers or out of a bong everything i smoke real real strong i dont get regular dome come to my crib thats a real big home i dont do nothing but cones hit the weed once and you will get stoned im in the building im with the millions more than a little bit im rolling more than a little bit bro i did a real big show i made a lil bit of growth young but i still get dough my niggas still kick doors yall niggas still rent yours my shit is all paid for hop in the car take off get a new broad smash off i just got all cash dog im rich and they cut me a paycheck came straight to the top from the basement my time is money got em wasted i roll the weed up and she taste it you prolly end up where my place is pulled up with a bag full of faces full of faces full of faces now she look in amazement never gon fall on my job ima always go real real hard never gon turn on my dogs everything i do for me and my squad shorty keep calling my phone thinking i want her but we dont get along papers or out of a bong everything i smoke real real strong i dont get regular dome come to my crib thats a real big home i dont do nothing but cones hit the weed once and you will get stoned im in the building im with the millions more than a little bit im rolling more than a little bit bro a boogie wit da hoodie yeah i know the hills feel good but so what im still real hood she told me the pill still good you dont have to squeal it feels good yeah adderall pills feel good yeah i know they would kill for a bill yeah made a couple million off the deal yeah but im still in my hood yeah drop top coup in my hood yeah i get money im good yeah i break hearts but im in love yeah superbad like mclovin im so good at switching subjects i count up and make em upset purple check i pour more percs yeah purple drink got syrup on deck and everything that i said you probably dont care im only thinking about you cause youre not here and i came in a lamborghini it aint fair amiri jeans prolly got a hundred damn pairs hoodie on trust me its a nightmare put a bullet on his ass cause i dont fight fair putting on my glove feelin like mike yeah
16,This Time Around,Wiz Khalifa,2020,rap,just the wind in my hair from the top cause i got it down booking flights for myself its just me when im out of town and that my heart breaks everytime i see your face wish i could make you smile this time around this time around this time around this time around this time around this time around this time i aint skipping over it this time i aint missing out ima get mine looking back like damn it was just time this time i wont be feeling nothing ill be just fine take the perfect shot i aint gon misfire this time everything is aligned if you just being defined just the wind in my hair from the top cause i got it down booking flights for myself its just me when im out of town and that my heart breaks everytime i see your face wish i could make you smile this time around this time around this time around this time around this time around this time around and around we go you aint with me unless we both got a pound to blow before you met me wasnt even around the smoke now you be rolling it up and blowing it down for sure you say its been a minute you love it when im in it you never wanna finish you say its been a minute you love it when im in it you never wanna finish dont play you want the business hearts been broken truths been spoken peaceful thinking minds been opened hold you in my arms keep you here with me dont wanna let you down
17,Wiz Got Wings,Wiz Khalifa,2021,rap,wizzle got wings wizzle got errythang i ever wanted they say they joy come with the pain i make sure that my growth is never stunned be careful who you run with one false move in the dirt you could be under it had fun this summer but now its time to grind two bad bitches at once how do i decide khalifa kush in the joint keep them dollar sign eyes dont question my intentions or mention me poorly you way out of line make your decision this boss advice you dont wanna take it i wont give it but when its all said and done at lest i i kept it one hundred with you wizzle got wings wizzle got errythang i ever wanted they say they joy come with the pain i make sure that my growth is never stunned reputation without a stain on it a pound with my name on it that sound like your favorite strain dont it bucket list with everything scratched off of it hard to miss still learnin new tricks all my dogs in here no excuse to blame it on appearance anymore ima boss and its crystal clear i made the studio my office turned into a fortune now its forklifts to bring piles of money to the door for us we dont worry bout the score hardly lookin at the board focused on whats goin on right there on there floor wizzle got wings wizzle got errythang i ever wanted they say they joy come with the pain i make sure that my growth is never stunned got yo pussy wetter than a hurricane gotta couple bitches sippin on mcqueen then get back to my crib she aint gon never leave she walk with the taylors thats the winnin team and the jets nigga wizzle got wings wizzle got errythang the type to pay the bill and tell you keep the change
18,Alfreds Theme,Eminem,2020,rap,before i check the mic check check one two i give it an extra swipe with a lysol disinfectant wipe good evening coronavirus in effect tonight antiseptics on deck i got every type yeah i throw on my tux then i yeah give zero fucks then i yeah act like a jockstrap uh cup my nuts then i yeah check my ball hair what make sure its all there yeah then call the pallbearer yeah its music to be murdered by again why stop overkill like a pipe bomb in your pine box youre all hitched to my cock what went from punchin a time clock to getting my shot then treated it like a cyclops like its the only one i only one eye got and my thoughts are like nines cocked chkchk every lines obscene pervertedest mind got the dirtiest rhyme stocked thats why theres parental advising visine every time i drop eye drop so throw on the theme to alfred ill channel him like the panama canal but how could i get up in arms about you saying trash is all that i put out bitch i still get the bag when im putting garbage out plus the potty mouth im not about to wash it out the filthiest so all this talk about im washed up how preposterous because if cleanliness is next to godliness its obvious that its impossible for me to be beside myself and im bout that capital like a proper noun still on top the pile got me sitting on numbers like a pocket dial quick to call you out on your bullshit dont make me give that crock a dial cause if i do it see you later alligator made it out the trailer then i made a vow to cater to no one so hate ive gained about the same amount thats in my bank account so heres some more shit for you to complain about i say the bars that never slack yeah but always get attacked yeah i think theyre gunnin for me its startin to feel like that like im marked cause when i rap its like fallin on my back in a tar pit cause i have this target on my back ew yuck but if i ever doublecrossed my fans and lost my stans id probably pop five xans yeah go in my garage start my van inhale as much carbon monoxide and exhaust i can and doze off like *snores* but odds like that with these thoughts i haves like a giant getting squashed by ants if this is the test of time id pass with flying colors like i just tossed my crayons tossed my crayons small medium and large size cans sanitizers of all types brands cost nine bands which is a small price for lysol wipes and if my palms brush across my pants i wash my hands shit hold on man motherfucker happy birthday to fuck shh quiet i sit in silence in candlelit environments sipping wild irish while getting violent homicidal visions when im spitting like this but really im just fulfilling my wish of killing rhymes which is really childish and silly but im really like this im giving nightmares to billie eilish im diddys side bitch what the fuck hold on wait im diddys side bitch oh im still east side bitch so til the end since epmd been givin yall the business yeah dre and me yup from the mmlp to huh mtbmb bitch bitch its 2020 you still aint seein me haha so call me santa claus santa claus cause at the present yeah i outrap em all wrap em all im at the mall got your bitch in a bathroom stall she could suck a basketball uh through a plastic straw yeah with a fractured jaw damn my dick is coat check ha she wanna jack it off yeah im so far past the bar i should practice law mentally im fucked up generally general lee duh dukes of hazzard car yeah get the cadaver dogs cause this is murder murder and youll get murked murked this music bout to kill you brr brr brr this chicken hit my phone she said chirp chirp i said hut hut hike your skirt skirt then go eat some worms like the early bird what the fuck is love thats a dirty word make me fall in it theres not a girl on earth or any other planet thats a world of hurt and i wont buy a designer cause i dont pander panda but im back with so many knots i need a chiropractor damn and this the final chapter why cause im either frying after oh or they gon give me the needle what like a vinyl scratcher dj yeah im a card like hallmark at walmart with a small cart buying wall art and yall who claim to be dogs arent no bite like a tree mostly just all bark arf arf but yall pickin the wrong tree they call me dog because im barking bar king bark bark barking and i got a lot yeah like where cars park id describe it as bowling why ball hard balls hard cause the gutters where my mind is and when its in this frame better split like the five and the ten cause without a second to spare im strikin again and when the beat is up my alley i go right for the pens pins the cypher begins im talkin smack like heroin the mics a syringe its like a binge vicodin i would liken to tin my mind is a recycling bin theres no place i never been but i never budge and i never bend you hyperextend on me this games life it depends like adult diapers for men even when im rappin less stellar its sour grapes i still whine im the best seller cellar like a trey deuce spray you as these shots penetrate through dres booth and go straight through your grapefruit no escape route so you wont leave here just scathed with a few scrape wounds your ass is grass and i am not gonna graze you but if bars were semimacs id be the mad hatter cause i got so many caps and you dont have any straps nah so youd be a fitted yeah so dont act like you fittin to snap bitch ill pee p on your head like a phillies hat haha no stoppin me youre on a window shopping spree bitch you probably go broke at the dollar tree you never buy shit all you ever cops a plea youre always punkin out like halloween you rather opt to flee you need to stop it punk homie youre not a g act like you got the pump and youre gonna cock the heat or get the glock and dump bitch if you shot a tree you wouldnt pop the trunk yeah and im buddies with alfred we about to disembowel them gut em and scalp em yeah this is bout to be the bloodiest outcome cause we gon make you bleed with every cut from this album so im choppin em up like dahmer the nut job with the nuts that are bigger than jabba the hutt im in the cut and im out for the blood its lookin like its that time of the month carvin em up with the bars while i sharpen em up dog and a mutt im gonna fuck your mom in the butt with a thermometer fuckin phenomenal but yallll get cut the fuck up like abdominals if you dont vã¡monos i keep droppin like dominos the formidable abominable stompin a mudhole in my comp even if its off the top of the dome son em get the coppertone im at the stop and go coppin the mop and glo got your stomach in knots like you swallowed rope you out of pocket though like a motherfuckin wallet stole
19,Guns Blazing,Eminem,2020,rap,my resolute for this year no pollution fresh air my solution long hair with a fat ass im deadass mile high club til i jet lag rothstein flow casino and youre just like ginger we know single negro i dont need your double standards and hypocrisy and that fake handholdin on fathers day you a different motherfucker when youre not with me been sleepin with the enemy mockery its like im john f. kennedy shots at me yes im president of debauchery none of that bullshit ever got to me cause your pillow brillo ditto breakin this shit down little by little i aint got time for the fuckin pompoms shoulda never let this dog out of that kennel wastin time debatin bout who im with when im not around just dont forget who you fuckin wit when steppin on hallowed ground cause you did this to me yeah im right back on my bullshit right back out on these streets just remember that you did this to yourself yeah you did it to yourself but now you gotta suffer the consequences and sorry isnt gonna help nah how many times have i got burnt and tried to act like im not hurt what or take you back and we not work like clockwork this shit is agony youre draggin me glocks burst just remember you drawed first you aint toe taggin me hobag any blowback you deserve get the bozack bitch yeah my souls blackening so actually this couldve been a lot worse why i couldve namedropped you in my verse yeah
